300 300
30 30 32 39 35 43 28 38 29 34 38 36 42 36 36 46 34 34 40 38 36 32 45 23 45 30 47 31 45 35 33 38 34 35 29 53 34 42 35 47 35 51 41 44 38 36 34 43 37 46 34 38 35 35 37 43 26 42 42 37 27 41 36 38 39 39 44 38 35 37 38 40 39 47 35 43 32 48 38 36 29 45 38 45 22 50 24 43 37 21 37 35 51 27 34 41 38 30 35 35 34 43 31 52 34 37 34 43 40 33 49 27 37 39 34 39 30 51 34 36 39 29 34 36 35 36 30 34 37 39 33 38 35 33 48 28 40 31 44 30 37 36 38 37 37 40 39 36 33 38 37 37 43 34 30 47 36 40 33 40 26 43 37 39 39 38 34 37 32 29 38 30 40 42 43 29 36 37 42 34 30 36 36 37 32 39 38 40 32 31 42 32 36 33 45 35 43 34 48 41 39 33 39 44 36 38 25 43 29 39 40 33 34 33 37 43 36 41 33 32 47 45 34 41 27 42 39 38 36 41 40 44 31 39 30 38 49 36 43 34 43 36 40 30 37 34 28 50 34 33 45 38 34 42 45 37 42 25 39 30 38 38 36 38 39 35 40 33 39 26 49 18 37 31 28 48 34 33 36 23 41 35 35 38 34 34 26 37 31 29 35 37 37 34 49 31 39 31 49 30 
44 38 42 38 45 38 37 39 37 35 36 37 33 38 39 31 28 44 32 36 35 40 32 36 31 43 35 40 38 30 44 35 44 32 39 41 36 42 33 45 27 51 31 30 33 41 36 42 41 33 39 42 40 35 29 40 29 36 46 29 50 31 43 41 32 36 35 32 42 33 43 37 34 42 27 44 42 41 37 35 34 45 26 45 32 43 33 42 40 36 42 28 48 37 36 43 31 41 33 38 26 39 34 30 35 41 40 39 35 32 36 32 46 41 35 39 46 34 35 41 42 38 39 31 36 43 37 38 43 45 30 51 29 43 36 34 30 33 34 45 36 41 39 37 38 37 36 35 43 42 37 32 51 29 40 33 35 37 38 39 39 40 31 46 35 35 30 33 36 28 35 32 43 34 28 46 31 46 34 32 33 37 29 36 35 43 34 38 40 44 32 38 23 43 29 23 40 28 43 36 36 34 28 47 33 45 32 39 38 23 43 36 27 49 23 47 28 44 29 44 30 35 29 31 45 35 31 42 34 38 41 39 33 31 43 37 34 32 42 33 39 29 35 39 32 32 41 43 33 45 35 39 41 32 34 46 30 41 31 33 36 36 42 39 35 40 36 39 31 37 35 46 36 39 28 35 37 36 36 37 31 37 33 38 36 32 41 30 45 40 39 36 38 31 45 31 46 36 38 48 
. . . . ^ T T T ^ . . . . . . . . . . ^ . . . . ^ . . . ^ T . . . . . . T . . . . . . . T ^ . . . . . . . . . . . . . . . . . . . . . ^ T . . . . . . . . . . T ^ . . . . . . . . . . . . . . . . . . ^ T ^ T T ^ . . . . . . . . . . . . . . T ^ . . . . . ^ T T ^ T ^ . . . . . . . . . . . . . . . . . . . . . . . . . . . . . T ^ T ^ . . . ^ T . . . . . . . . . . ^ T T ^ . . . . . . . . . . T . . . . . . . . . ^ T T ^ . . . T . . . T . . . . . . . . . . . . . . . . . . . . ^ . T ^ . . . . T . . ^ T T . . . . ^ . . . . . T . . . . . . ^ . T ^ . . . . . . . . . . . . . T T ^ T ^ . . . . . . . . . . . 
. ^ T . . . ^ . . . . T ^ . . T . . . T . . . . T . . . . . . . . . . . ^ . . . . . . . . T . . T ^ . . . . . . . . . . . . T ^ . . . . . . . T ^ . . . . . . . . . . . . T . . T ^ . . . . . ^ . ^ . . . . . T . . . . . . . . . . . . . . . . . . . . ^ T . . T . . . . . . . . . . ^ . T ^ . . . . . ^ T . . . ^ T . . . . . . . . . . . . . T . . . . . . ^ . . . . T . . . T T ^ . . . . . ^ . ^ . . . . T ^ T ^ . T . . . T ^ . ^ . . . ^ . . . . . . . . . . . . . . T . . . . . T . . T . . . . ^ . . . . ^ . . . . T . . . . . ^ T ^ . . . . T . . . . . . . . . . . T ^ . . . ^ . . . . . . . . . . . . . . . 
. T . . ^ . . . T . . . T . . ^ T ^ . . . . . . . . . T . . ^ T . . ^ T . T ^ . . . T . . ^ . . . . . . . . . . . . . . . . . . . T ^ . . . . . . . . . T . . . . . . . . ^ . . . . . . . . . T . T . . . . . ^ . T ^ . . . . T . T . T ^ . . . . . . . . T ^ . ^ . . ^ . . . . . . . T . T . . . . . . . . T . . . T ^ . . . . . . . . . . ^ T ^ . . . . . . T T . . . ^ . . . ^ . . . . . . . T . . T . . . . . . . . ^ . . . . . T . . T . . . T ^ . T ^ . T . . . T ^ . ^ . . . . . . . . ^ . ^ T . T . . . . . . . . . . . . . . T . . . . . . . . ^ . . T ^ T ^ . . ^ . . . . . . . . T ^ . . . T . . . . . . . . 
. ^ . . T . . . ^ . . . ^ . . . . . . . . . . . . ^ T ^ . T . . ^ . . . T . . . . . ^ . T . . . . . . . ^ T T ^ . . . . . . ^ T T . . . . . . ^ . . . . ^ . . ^ . . . ^ T . . . . . . . . . . . T . . . . T . . . . T . . . . ^ . ^ . . T . . . ^ T . ^ T . . . . . T T . T . ^ . . . ^ T ^ . . . . . . . . ^ . . . T . . . . . T ^ . . ^ . . . . . . . . . . . ^ . . . . T . . . . . . . . . . T ^ . ^ . . . . . . . T . T ^ . T . ^ . . ^ . . . . . . . . . ^ . . . . . . . . . T ^ . . . . . . . . . ^ . T T ^ . . . . . . . . . . ^ . . . T ^ . . . T . . . . . . . . T . . T . . . ^ . . . . ^ T ^ . . . . . . . . 
T . T ^ . . T . T T ^ . . . . . . . . . . . . . . . . T . ^ . T T . . . ^ . . . . . . . ^ . . . . . . T . . . . . ^ T . . . . . ^ . . T T ^ . T . . . . . . . T . . . . . . . T . . T T ^ . T . ^ . . . . ^ . . . . ^ . . . . . . . T . ^ . ^ . . . . . T ^ . . . . ^ . . ^ . T . . . . . . T . . . . ^ T T . . . . ^ . . . . ^ T T . . T . . . . . . ^ T . . . . T ^ . . ^ . . . . . . . . ^ T . . T . . T . . . . . ^ . . . . ^ . . . . . . T ^ . . . T ^ . . . T T ^ T ^ . . . . . . . . . . . . . . . . ^ . . . T . ^ T T ^ . . . . . . . T . T . . . . ^ T T . . . . . . . ^ . . . T . . . . . T . . . . . . . . . 
^ . . . . . ^ . ^ . . . . . . . ^ T T . . . . . ^ T . ^ . . . ^ . . . . . . . . . . . . . . T ^ . . . ^ . T . . . . . T ^ . ^ T . . . ^ . . . . . . ^ T ^ . . . ^ T . . . T . ^ . . ^ . . . ^ . . . T . . . . . . . T . . . . ^ T . ^ . . . T . . . . . . . . ^ T T . . . T . T ^ . . ^ . . ^ . . . . . . ^ T ^ . . . T ^ . . . . ^ T ^ T ^ . . . . . . . . . ^ T T . . . T . . . . . . . . . . . . ^ . . ^ . . . . . . . . . . . . . . . . T . . . . . . T T ^ . ^ . . . . . . . . . . . . . . . . . . . . . . . . ^ . . . . . . . . . . . . ^ . ^ . . . . . . ^ . . ^ . . . . . . . . . . ^ . . . ^ . . T ^ . . . . . 
. . . . . . . . . . . . . . . . . . ^ . . . . . . T . . . ^ T . . . T ^ . . . . . . . . . . . . . . . . . ^ . . . ^ . . . . . . . . . . . . ^ . . . T . T . . . . . ^ T . ^ . . T . . . . . . . . . ^ . . . . . . . ^ . . . . . . . . . . . ^ T . ^ T ^ T . . . . ^ . . . ^ . . . . . T . . T . . . . T . . . . . . . . . T . . . T . T . T . T . ^ T . . . . . . ^ . . . ^ . . . . . . ^ T ^ T . . . . T . . . . . . . . . . . . . . . ^ T ^ . . . . . . ^ . . . . . . . . . . . . . ^ . . . T ^ . T . . . . . . . . . . . . . . . . ^ . . . . T . . T ^ . T . . . . T . . . . T . . . . T T . ^ T . . . . . . . . . . 
T . . . . . T ^ . . . . . . . . . . . . . . . T . ^ . ^ T . . T ^ . . . . . . . . T . . . . T . . ^ T ^ T . . ^ T T . . . . T ^ T ^ . . . . T . . . T . ^ T ^ . . T . . . . . . ^ T ^ . . ^ . . . . . . . . . . . . T . . . . . . . . . . . . . . . . . . . . . . . . . . . T . . . . T . . ^ T ^ . . ^ . . . . . . . . . ^ . . . ^ . ^ . ^ . ^ . . . . T . T ^ . . . . . T . . . ^ T T . . . . . . . . ^ . ^ T . ^ T . . . . . T ^ . . . . . . . . . . T . . . ^ T . . . . . . . . . T . . . . T . ^ . . . . . . . . . . . . . . . . T . T . . ^ . . . . . ^ . . T ^ . . . . . ^ . . ^ T ^ . . T T ^ . ^ . . . . . . . 
^ . . . . . . . . . . . . . . . . . . . . ^ . ^ . T . . . . . . . . . . . . . . . ^ . . . . ^ . . . . T . . . T . T ^ . . . . . . . . . ^ . . . . . ^ . . T . . . ^ T ^ . ^ T T . . . . . T . . . . . . . . . . ^ T ^ . . . . . . . ^ T . . . . T . . . . . . . . . . . . . ^ . . . . ^ . . . . T . . . T ^ T ^ . . . T . . . . . . T . . . T . . . . . ^ . . . . ^ T . . ^ . . . . . ^ . . ^ T . . . . . . . . . . . . . . . . . . . T . . . . . . . . ^ . . . . T ^ . . . ^ T . . . . . . . . ^ . . . . . . . . . . . . . . . . . . . . ^ . . . T . . . . . . . . . . . . . . . . . T . . . . ^ . . . T . . . . . . . 
