300 300
37 28 33 34 34 41 37 45 34 41 35 36 49 33 49 34 33 37 35 38 29 37 36 36 41 32 27 38 38 40 37 43 36 31 44 35 41 40 32 42 35 38 38 42 33 39 41 38 45 37 45 33 45 29 35 38 30 28 33 45 35 46 38 41 45 35 42 27 40 38 40 39 36 28 35 42 33 42 30 39 43 38 35 32 36 42 37 37 31 36 31 36 39 28 31 37 40 33 44 28 35 36 48 35 51 33 38 35 37 41 33 40 30 46 34 43 33 38 30 45 40 31 37 39 39 34 26 45 27 35 38 40 28 48 34 43 38 41 36 37 40 34 42 35 35 35 47 42 37 44 27 48 38 39 45 36 50 34 46 35 46 37 37 44 38 44 27 41 30 39 38 41 33 29 39 35 35 38 45 38 40 38 41 37 36 33 40 39 42 38 44 40 42 34 42 39 37 33 25 45 39 38 37 31 47 33 44 31 39 32 40 38 47 31 39 30 44 32 43 30 50 34 47 30 26 44 31 26 40 35 30 39 34 42 35 38 39 31 45 36 39 46 37 37 39 31 47 29 44 34 43 40 32 39 33 41 38 35 31 36 29 43 35 36 30 45 37 39 39 28 35 33 40 34 41 30 50 42 36 39 42 36 40 28 39 40 36 40 35 49 24 46 31 38 45 37 42 32 33 33 
36 31 44 39 37 52 26 40 37 47 36 40 38 34 37 34 37 33 39 38 40 36 39 43 29 31 50 32 43 35 29 30 35 35 32 44 34 42 41 36 42 29 40 27 40 37 33 32 43 38 36 40 41 40 33 38 32 49 26 47 32 40 32 46 28 44 31 37 35 39 39 30 33 50 35 45 32 39 41 40 32 40 31 40 35 35 46 32 41 27 45 41 31 31 33 40 37 40 28 53 28 24 48 32 40 30 35 35 38 32 44 29 46 43 38 45 23 50 29 41 32 42 42 35 39 37 41 36 36 36 46 40 43 43 40 36 45 31 42 46 37 37 40 33 35 40 27 44 33 43 31 43 31 42 33 45 27 50 34 33 33 42 31 38 42 32 29 40 42 31 40 36 37 37 38 38 36 40 32 33 36 42 45 44 33 33 32 47 39 44 36 40 37 38 49 33 37 40 31 41 27 36 43 37 33 43 39 36 45 32 35 35 36 37 39 38 42 45 42 37 39 45 35 44 40 37 43 43 36 36 38 42 31 29 48 29 46 26 36 26 35 33 38 38 34 35 45 32 45 42 21 53 32 43 31 46 42 35 35 33 39 34 45 30 39 34 45 34 35 43 30 30 37 32 29 38 38 41 39 33 41 35 45 34 42 42 32 38 35 40 35 33 34 30 44 34 43 35 44 35 
. . T T . . . . . . . . . . . T . . . . . . . T . T . . T . . . . . . . . . . . . . T T . . . T . . T . . . . . . . . . . . . . . . . . . . . . . T . . T T . . . . T . . . . . . . . . . . . T T . T . . . . T . . . . . . T . . . . . . . . T . . . . . T . . . . . T . . . . T . . . . . . . . . . . T T . . . . . T . . . . . . . . . . . . . . . . T . T . . . . T . . . . . . . . . . . . . T . . . . . . T . . . . . . . . . . . . . . . T . T . . T . . . . . . . . . . . . . . T . . . . . . . T . . . . . . T . . T . . . . . . . . . . . . . . . T . . . . T . . . . . . . . . . . . . . . . T . . . . . . . 
. . . . T . . . . . . . . . . . . . . . . T . T . . . . . . . . T . . T . . T . . . . . T T . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . T . . T T T . . . . . . . . . T . . T . T . T . T . . . . . . . . . . . . . . . T . . . . . . . T . . . . T . T . T . . . . . . . . . . . . . . . T . . . . . . . . . . . T . . . . . . . . . . . . T . . . . . . . . . T . . T . . . . . . . T . . . . . . T . . T . . . . . . . . . . . . . . . T . . . . . . . . . . T . T . . . . T . . . . . . T . . T . . . . . . . . . . . T . . . . . . T . . . . T . . . . . T . . . . . . T . . . . . . . 
. . . . . . . . . . . . . . . . . T . . T . . . . . T . . . . . T . . . . . . . . . . . . . . T . . . . . . . . . . . . . . . . . . . . . . . . . T . T . . . T . . . . . . . . . . . . . . T . . . . . . . . . T . . . . . . . . . . T . . . . . . . . . . . . T . . T . . . . . . . . . . . T . . . . . . . . . . . . . . . . . . . . T . . . T . . . . T . T . . . . . . T . . . T . . . . . . T . . . . T . . . . . . . . . . . . . . . . T . . . . . . . . . . . . . . . . T . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . T . . . . . . T . . . . . . . . 
. . . . . . . T . T . . . . . . . . . . . . . . . . . T . . . . . . . . . . T . . . . . T . . . . . . . . . . . . T . . . T . . . . . . . . . . . . . . . . . . . T . . . . . . . . . . . . . . . T . . . . . . . . . . . . T . . T . . . . . . T . . . . . . . . . . . T . . . T . . . . T . . . . . . . . . . . . . . T . . . . . . . . . . . T . . . . . . . . . T T . . . . T . . . . . . . . . T . . T . . . . . . . . . . . T . . . . T . . . T . . . . . . . . . . . . . . . . . . . T . T . . . T . . . . . . . . T . T . . . T . . . . . . . . . . T . . . . . . . . . . . . . . . . . . . . . . . . T . . . . 
. . . . . . . . . . . . T . . . . . . . . . . . . . . . T . . . . . . T T . . . . . . . . . T . . . . . T . . . . . . . . . . . . . . . . . . T . . . . . . . . . . . . . . . . . . . . T . . . . . T . . . T . . . . . . . . . . . . T . . . T . . T . T T . . T . . . . T . . . . . . . . . T . . . . . T T . . T . . . . T . . . . . T . . . . . . . T . . . . . T . . T . . . . . T . . . T . . . . . . . . . . . . . . T T . . T . . . T . T . . T . . . . . . . T . . T . . . . T . . . . . T . . . . . . . . T . . . . . . . . . . . T . . . . . T . . . . . . . . . . . . . . . . . . . T T . . T . . . . . T . 
. . T . . . T . . . T . . . T . . . . T . . . . . . . . . . . . T . . . . T . . . . T . . . . . . . . . . T . . . . . T . . . . . . . . . . . . . . T . . . T . . . . . T . T . . . . . . . . . . . T . . . . . . . . T . . . . . . . . . . . . . . . . . . . . . . T . . . . . . . . . . . . . T . . . T . . . . . . . . . . . . . . . . . . . . . . T . . . . . . . . . . . . . T . T T . . . . . . . . . . . . T . . . . . . . . . . . . . . . . . . . T . . . T . . T . . . T . . . T . . . . . T . . . . . T . . T . . . . . . T . . . . . . T . . . T . . . . . . . . . . . T . . . . . . . . . . . T . . . . . . 
. . . . T . . . . . . . . . . . T . . . . . . . . . . . . . . . . . . . . . . . . . . . T . . T . . . . . . . T T . . T . . . . . T . T . T . . . . . . . . . T . . . . . . . . . . T . . . . . T . . . . . . . . . . . . . . . . . T . . . . . . . . . T . . . . . . . . . . . . . . . . . . . . . . . T . . . . . . . T . . . . . . . . . . . . . . . . . . . . . . T . . . . . . . . . . . . . . . . . . . . . . . T . . . . . T . . . . . . T T . . . T . T . . T . . . . . . . T . . . . . . . T . . . . . . T . . . . . . . . . . . . . . T T . . . . . . T . . T . . T . . . . . . . . . . . . . . . . . T . . . 
T . . . . . . . T . . . . . . . . . T . . . . . . T . T . T . . T . . . . . T . . . . . T . . . . . T . . . . . . T . . . . . T . T . . . . . . T . . . T . . . . . . . . . . . . . T . . . . . . . T T . . . . . . . . . . . . . . . T . T . T . . . . . . T . . . T . . . . . T . T . . . . . . T . . . . . . T . . . . T . . . . T . . . . . . . . . T T . . . T . . . . T . . . . . . . . . . . . T . . . . . . . . . T . . . . . . . . T . . . . T . . . . . . . . . . . . . . . . . . . . T . . . T . . . . . . . . . T T . T . . . . T . . . . T . . . . T . . . . . . . . . . . . T . . . . . . . . T . . . . . 
. T . . . . . . . T . . T . . . . T . . . . . . . T T . . . T . . . . . . . . T . . . . . . . . T . . T . . . . T . . T . . . . . . . T . . . . . . . . . . . . . . . . . . . . T . . T . . . . . . . . . T . . . . . . T . . . T . . . . . . . . . . . . . . . . . . . . . . T . . . . . T . . . . . . . . . . . . . . . . T . . . . . . . . T . . . . . . . . . . . T . . . . T . . . . . T . . . T . . . . T . . . . . T T . T . . . . . . . . . . . . . . . . T . . . . . . . . . . . . . . . . . . . . . . T . . . . . . . . . . . . T . T . . . . . . . . . T . . . T . . . . . . . . . . . . . . . . . . . . . . 
