300 300
42 30 41 34 41 25 45 35 45 33 49 32 41 32 38 34 33 32 40 34 44 31 49 30 35 40 35 42 42 36 33 39 34 30 38 33 41 29 41 22 37 33 42 42 42 34 36 45 43 34 36 44 31 41 38 45 26 49 36 32 34 35 44 40 49 29 42 41 34 40 43 37 45 32 45 24 46 35 38 41 40 37 34 35 42 36 44 34 41 37 32 36 41 34 28 40 33 44 32 42 39 35 31 34 45 39 43 36 45 38 43 42 30 43 40 42 43 44 41 39 33 32 34 47 30 32 30 42 38 31 37 31 38 41 33 35 35 37 41 32 37 30 43 38 46 33 38 38 41 44 32 52 28 43 34 44 29 45 32 37 34 44 32 36 35 38 33 40 37 38 38 37 37 42 36 38 35 38 43 44 35 48 39 43 31 40 25 41 28 42 31 45 30 46 39 44 35 45 33 36 42 33 35 37 37 34 46 31 34 35 43 39 41 40 41 44 35 37 35 49 32 36 33 42 27 52 26 44 31 41 46 37 39 27 45 31 38 42 37 37 31 45 32 39 35 39 32 42 32 51 25 41 37 32 47 40 36 41 38 34 32 40 42 34 41 41 36 38 38 37 37 20 40 35 46 35 33 34 37 44 41 35 41 41 40 32 41 37 37 28 47 32 41 40 36 42 32 37 34 36 
40 39 25 32 48 41 37 43 31 48 32 40 38 41 36 41 37 40 37 43 35 36 35 42 36 36 36 40 38 35 44 40 35 37 32 45 33 36 36 38 40 28 35 38 40 42 34 39 39 43 34 45 31 34 39 47 31 42 27 37 36 41 36 47 33 38 40 34 41 25 41 42 40 38 44 42 38 42 32 40 37 36 41 35 31 40 33 33 37 36 47 34 39 29 41 38 45 35 41 35 24 43 38 40 42 37 33 40 44 42 34 54 32 41 37 32 48 34 39 32 41 33 50 31 50 33 48 35 40 38 44 46 24 50 32 37 34 38 29 52 38 45 46 33 42 41 35 41 40 33 31 44 30 46 32 45 32 42 28 41 27 41 37 39 33 40 44 35 33 40 36 44 49 38 35 40 33 38 37 38 38 33 44 29 33 48 32 36 40 30 39 41 33 35 43 39 50 27 43 40 36 42 40 37 34 42 35 40 33 32 42 32 39 39 37 27 38 40 39 36 43 32 49 33 47 36 31 51 38 35 43 39 42 27 45 40 35 29 31 32 50 30 37 38 37 30 45 31 43 32 40 36 28 48 33 41 39 33 38 40 31 43 31 40 33 31 35 37 34 37 31 38 36 36 40 31 27 41 36 34 32 37 37 33 42 44 30 31 25 39 39 29 46 40 40 40 37 35 24 41 
. ^ . . . T . . . . . . . . T T ^ . . . . . . . . . T ^ . . . . . T . . . . . . . . . . . ^ T . . ^ T . . . . ^ T . . . . . ^ T . ^ . ^ T T ^ . . . ^ T . ^ T . . . . . . . . T . ^ T . . . . ^ . . . . ^ T . . ^ . T ^ . . . . . . . . . . . ^ T T ^ . . T T ^ . . . ^ T . . ^ T ^ T ^ T ^ . . . T . . . T . . . T ^ . ^ T . . . . . . T ^ T ^ . . . T ^ . . . . . . . T . . . . . T ^ . . . . . . . . . . . . . . T . . . . T . . . . . . T . . ^ . T . . . . . . ^ . . . . ^ T ^ . . . T . . . . . . . . . . . . . . . . . T T ^ . . . T . . . . . . T . . T ^ . . . T ^ . . . . . T ^ . ^ . . . T ^ T ^ . . . . . . 
. T T ^ . ^ . . . . . . . . ^ . T . . . T ^ . . . T . . . . . . . ^ . . . . . . . . . . . . . ^ T . . . . . . . . . . . . T . T . T T . . . . . . . . . . . . T . . . . . . . ^ . . . . . . . T . . . . . . . . T . . T . . . . ^ T . T . ^ T . . . T . . ^ . . . ^ T . T . . T . . . . . . . . . ^ . ^ T ^ T ^ . T . . . . . . T ^ . . . . . . T . . . T . . . T . . . ^ . . . . . . . T ^ T ^ . . . . . . . . . . ^ T ^ . . ^ . . . . . . ^ . . T . ^ . T . ^ . T T T . . . T . . . . . ^ . . . . . . . . . . . . . . . . . ^ . . . . . ^ . . . . . . ^ . . . . . . . . . . . . . . . . . T . ^ . . . T . . . . . . . 
^ . . . . . . . . ^ . T ^ . . . ^ . . . . . . . . ^ . . . . . . . . . . . . . . . . . . . . . . T . T . . . . . . . . . . ^ . ^ . . ^ . . T ^ . . ^ . . . . . ^ . T ^ T ^ . . . . . T ^ . . T . ^ T ^ T . . . . . . . ^ . ^ T T . . . ^ . . . T . . ^ . T . . ^ T . . . ^ T ^ . . . . T . ^ T . . . . . . . . . . ^ . . . . . . . T . . . . ^ . ^ . T . ^ . . . ^ . . T . . . . . . . . . . . . . T ^ . . . . . . T . . . . . . . T . . T . . . T ^ . T . ^ . T . ^ . ^ . . . . . . . . . . . . T ^ . . . ^ T . T . . . . . . . . . . T . . . . . . . . . . . . . T ^ . . T ^ . . . . . . T . T T . . . ^ . T ^ T ^ . . 
T . . . . . . . . T . . T . . . . . . . . . . . . . . T ^ . . ^ T T . . . T ^ T ^ . T . . . . . ^ . ^ . . . . . . . . . . T . T . T . . . . . . . T . . T ^ . . . . . . . . . . . . . . . . ^ . . . T . . . . . . . . . . . . ^ . . . . . ^ . ^ . . . . ^ . . . . . . . . T . . . . . ^ . T T ^ . . . . . . . . . . . . . . . . . ^ . T . . T . T . ^ . T . . . . . . ^ T ^ . T T ^ T ^ . . . . T . . . . . . . . ^ . T ^ . . . . ^ . . ^ . . . T . . ^ . . . . . . . T . . . ^ . . T ^ T ^ T ^ . . . T . . . . ^ . . . . . . . . . . ^ . . . . . . . . . . . ^ T T . . . . . . . . . . . ^ . ^ . . . T . . T . . T . . 
. T ^ . . . . . . . ^ T ^ . ^ T . T ^ . T . . . . ^ . . . . . . . ^ . T ^ . . . . . ^ . . . . . T . . . ^ . . T . . . . . ^ . ^ . ^ . . . . . . ^ T . ^ T . . ^ T ^ . ^ . . . . . . . . . . . . . . ^ . T ^ . . . . . . . . . T . . . ^ . T . . . . . . . . . ^ . . . . . ^ . . . . T . . ^ . . . ^ T . . . . . . ^ T . . . . . T . . ^ . . . . ^ . . . ^ . . . . . . . . . . ^ . T . . . . . . ^ . . . . . . . . . . . . . . . . . . . . . . . ^ . T . . . ^ T . . . ^ T ^ . T . . . . T . . T . . . ^ . . . . . . . . T . . . . . . . . . . . . . . . . . . . . ^ . . . . . . . . . . . . . . . . . ^ . . ^ . . ^ . ^ 
T . T . T ^ . . . . T . . T . . T . . . ^ . . . . T . . . ^ T ^ . . . . . . . . . . . . . T . . ^ . . T T . . ^ . . . . . . . . . . . . T ^ . . T . T . . . . T . . . T . . . . . . . . T T ^ . T . . . . . . . . . . . . . . ^ . . . T . T . . T . . . . . . T . . . . . T . . . . ^ . . . . . T . . . . . . . . T . . . . . . ^ . T . . . . . . . T . . T . . T ^ . T T ^ . T . ^ . . . . . . . . T . . . . . . . . T ^ . . . . . . . . . ^ . . . ^ . . . . . . . . . . T . ^ . T ^ . ^ . . ^ . . . . . . . . . . . . ^ . T . . . . . T ^ . . . . . . . . . . . . T ^ . . . . . . . . T . ^ T . . . . . . . . . . . T 
^ . ^ . . . . ^ T . ^ . . ^ . . ^ . . . . . . . . . . ^ T . . T . . . . . . . . . . . . . ^ . T . . . ^ . . . . T ^ . . . . . . . T ^ . T . . . ^ . ^ . . . . ^ T . . . . . . T ^ T ^ . ^ . . . ^ . . . . . . . . T . . . T . . . . . ^ T ^ . . ^ . . . ^ . ^ T T . . . . ^ . . . . . . . . ^ T ^ . . . . . . . . ^ . . . . . . . . ^ . T ^ . T ^ . ^ . . ^ T ^ . T . ^ . . . ^ . . . . . . . . T . ^ . . . . . . . . . . . . . T . . . ^ . T . . . . T . T . . T . T . . ^ . T . . . . . . . . . . . T . . T . . . ^ T . . ^ . . . . . T . T ^ . . . . . . . . . T . . . . . . ^ . . . ^ . . . T ^ . . . T . . . . T ^ 
. . T . . . . . . T . . . . . . . T . T T ^ . . . . . . . . T T ^ . . . . . . . T ^ . T . T . ^ . . . . . ^ . . . . . . ^ . . . . . T . ^ . . . . . . T ^ . . . . . . . . . . . . . . . . . . . . . . . . . . . . ^ . . . ^ T ^ . . . . . . T . . . . . T . . . ^ . . . . . . . . . . . . . . . . . . . . . . . . . T . . . . . . . . . . . . T . . . . . . . T . ^ . T . . . . T . . . . . ^ T ^ . . . . . . . . . . . . . . . ^ . . T T T . T . T . ^ . ^ . . ^ . ^ . . . . T ^ . . T ^ T ^ . T ^ . ^ . . ^ . . . . . . . . . . . . . ^ . . . . . ^ T T ^ T ^ . ^ T ^ . ^ . . T . . . . . . . . . . . . ^ . ^ . . . . 
. . ^ . T ^ T ^ . ^ . . . . . ^ T ^ . ^ . . . . . . . . . . ^ . . . T ^ . . . ^ T . . ^ . ^ . . T ^ . . . T T . . . T . T . . . . . ^ . . . . . . . . . . . T ^ . . . . . . . . . . . T ^ T ^ . . . . . . . . . . . . . . T . . . . . T ^ . ^ . . . . . . . ^ T . . . . . . . . . . . T ^ T ^ T ^ T ^ T ^ . . . . . ^ . . ^ T . . ^ T . . . . ^ . . . T ^ . . ^ . . . ^ . . . . ^ . ^ T . . . . . . T ^ T ^ . . . . T . ^ T . . . . . ^ . ^ . ^ . ^ . . . . . . T . . . . . . . . . ^ T . . . T . . . . . . T . . . T . . . . . . ^ T . T . T ^ . . . . T . . T . . . . . T T . . . ^ T T . . . . . . . . . . T . . . . 
